Name,OS,RAM,Storage,Rating,Price,NormalizedSpecs
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
Apple MacBook Air Apple M4 -,macOS Sequoia,16 GB,256 GB SSD,4.7,91990,"apple m4 processor16 gb unified memory rammac os operating system256 gb ssd34.54 cm (13.6 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, iphone mirroring, keynote, mail, maps, messages, music, notes, numbers, pages, passwords, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, stocks, time machine, tips, tv, voice memos, weather1 year limited warranty"
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U -,Windows 11 Home,8 GB,512 GB SSD,4.5,40990,intel core i3 processor (13th gen)8 gb lpddr4x ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo Chromebook MediaTek Kompanio 520 -,Chrome OS,4 GB,128 GB EMMC Storage,3.8,12990,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system35.56 cm (14 inch) display1 year carry-in warranty
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U -,Windows 11 Home,8 GB,512 GB SSD,4.5,54490,intel core i5 processor (13th gen)8 gb lpddr4x ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year manufacturer warranty for laptop and 6 months for in-box accessories
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U -,Windows 11 Home,16 GB,512 GB SSD,4.5,58490,intel core i5 processor (13th gen)16 gb lpddr4x ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year manufacturer warranty for laptop and 6 months for in-box accessories
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Apple MacBook Air Apple M4 -,macOS Sequoia,16 GB,256 GB SSD,4.7,91990,"apple m4 processor16 gb unified memory rammac os operating system256 gb ssd34.54 cm (13.6 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, iphone mirroring, keynote, mail, maps, messages, music, notes, numbers, pages, passwords, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, stocks, time machine, tips, tv, voice memos, weather1 year limited warranty"
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
SAMSUNG Galaxy Book4 Metal Intel Core i7 13th Gen 1355U -,Windows 11 Home,16 GB,512 GB SSD,4.4,68990,intel core i7 processor (13th gen)16 gb lpddr4x ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year manufacturer warranty for laptop and 6 months for in-box accessories
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.1,44990,"intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.2,31990,"intel core i3 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite hardware service"
HP Laptop Intel Core i3 13th Gen 1315U -,Windows 11 Home,8 GB,512 GB SSD,4.4,34990,intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
DELL 15 Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.1,42990,"intel core i5 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Aspire 3 Intel Core i3 13th Gen 1305U -,Windows 11 Home,8 GB,512 GB SSD,4.2,28990,intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
Apple MacBook Air Apple M4 -,macOS Sequoia,16 GB,256 GB SSD,4.7,91990,"apple m4 processor16 gb unified memory rammac os operating system256 gb ssd34.54 cm (13.6 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, iphone mirroring, keynote, mail, maps, messages, music, notes, numbers, pages, passwords, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, stocks, time machine, tips, tv, voice memos, weather1 year limited warranty"
Acer Aspire 3 Intel Celeron Dual Core -,Windows 11 Home,8 GB,512 GB SSD,3.8,17990,intel celeron dual core processor8 gb ddr4 ram64 bit windows 11 home operating system512 gb ssd29.46 cm (11.6 inch) display1 year warranty
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.2,40990,intel core i5 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,29990,intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,30490,amd ryzen 3 quad core processor8 gb lpddr5 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U -,Windows 11 Home,8 GB,512 GB SSD,4.2,35990,intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H -,Windows 11 Home,16 GB,512 GB SSD,4.4,61990,intel core i5 processor (13th gen)16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1yr warranty + 1 yr premium care and 1 yr accidental damage protection
HP AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,8 GB,512 GB SSD,3.8,35990,amd ryzen 5 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Acer Aspire 3 Intel Core i5 13th Gen 1334U -,Windows 11 Home,8 GB,512 GB SSD,4.4,39990,intel core i5 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
Acer Aspire 3 Intel Celeron Dual Core -,Windows 11 Home,8 GB,128 GB SSD,3.8,15990,intel celeron dual core processor8 gb ddr4 ram64 bit windows 11 home operating system128 gb ssd29.46 cm (11.6 inch) display1 year warranty
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
CHUWI Intel Celeron Quad Core 12th Gen N100 -,Windows 11 Home,8 GB,256 GB SSD,4.1,17990,"intel celeron quad core processor (12th gen)8 gb lpddr5 ram64 bit windows 11 home operating system256 gb ssd35.81 cm (14.1 inch) displaywps office, operating system software1 year onsite warranty"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,16 GB,512 GB SSD,4.3,35990,intel core i3 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Acer Aspire 3 Intel Core i5 13th Gen 1334U -,Windows 11 Home,16 GB,512 GB SSD,4.4,40990,intel core i5 processor (13th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
